Branch code,Branch name,Categorization of customers,Mobile Banking,Status,Number of customers
NP0010015,Individual Other,Mobile Banking,BR Biratchowk,INACTIVE,126
NP0010015,Individual Other,Mobile Banking,BR Biratchowk,ACTIVE,305
NP0010015,Individual Other,Mobile Banking,BR Biratchowk,INACTIVE,656
NP0010016,Individual Female,Mobile Banking,BR Biratnagar,ACTIVE,758
NP0010016,Individual Female,Mobile Banking,BR Biratnagar,INACTIVE,119
NP0010016,Individual Male,Mobile Banking,BR Biratnagar,ACTIVE,1412
NP0010016,Individual Male,Mobile Banking,BR Biratnagar,INACTIVE,291
NP0010016,Individual Other,Mobile Banking,BR Biratnagar,ACTIVE,850
NP0010016,Individual Other,Mobile Banking,BR Biratnagar,INACTIVE,127
NP0010016,Individual Other,Mobile Banking,BR Biratnagar,ACTIVE,1508
NP0010016,Individual Other,Mobile Banking,BR Biratnagar,INACTIVE,1481
NP0010017,Individual Female,Mobile Banking,BR Urlabari,ACTIVE,259
NP0010017,Individual Female,Mobile Banking,BR Urlabari,INACTIVE,59
NP0010017,Individual Male,Mobile Banking,BR Urlabari,ACTIVE,361
NP0010017,Individual Male,Mobile Banking,BR Urlabari,INACTIVE,96
NP0010017,Individual Other,Mobile Banking,BR Urlabari,ACTIVE,141
NP0010017,Individual Other,Mobile Banking,BR Urlabari,INACTIVE,66
NP0010017,Individual Other,Mobile Banking,BR Urlabari,ACTIVE,225
NP0010017,Individual Other,Mobile Banking,BR Urlabari,INACTIVE,732
NP0010018,Individual Female,Mobile Banking,BR Kanchanbari,ACTIVE,224
NP0010018,Individual Female,Mobile Banking,BR Kanchanbari,INACTIVE,63
NP0010018,Individual Male,Mobile Banking,BR Kanchanbari,ACTIVE,292
NP0010018,Individual Male,Mobile Banking,BR Kanchanbari,INACTIVE,100
NP0010018,Individual Other,Mobile Banking,BR Kanchanbari,ACTIVE,230
NP0010018,Individual Other,Mobile Banking,BR Kanchanbari,INACTIVE,110
NP0010018,Individual Other,Mobile Banking,BR Kanchanbari,ACTIVE,352
NP0010018,Individual Other,Mobile Banking,BR Kanchanbari,INACTIVE,586
NP0010019,Individual Female,Mobile Banking,BR Aambari,ACTIVE,246
NP0010019,Individual Female,Mobile Banking,BR Aambari,INACTIVE,37
NP0010019,Individual Male,Mobile Banking,BR Aambari,ACTIVE,381
NP0010019,Individual Male,Mobile Banking,BR Aambari,INACTIVE,83
NP0010019,Individual Other,Mobile Banking,BR Aambari,ACTIVE,122
NP0010019,Individual Other,Mobile Banking,BR Aambari,INACTIVE,72
NP0010020,Individual Female,Mobile Banking,BR Tinpaini,ACTIVE,367
NP0010020,Individual Female,Mobile Banking,BR Tinpaini,INACTIVE,78
NP0010020,Individual Male,Mobile Banking,BR Tinpaini,ACTIVE,560
NP0010020,Individual Male,Mobile Banking,BR Tinpaini,INACTIVE,164
NP0010020,Individual Other,Mobile Banking,BR Tinpaini,ACTIVE,595
NP0010020,Individual Other,Mobile Banking,BR Tinpaini,INACTIVE,112
NP0010020,Individual Other,Mobile Banking,BR Tinpaini,ACTIVE,420
NP0010020,Individual Other,Mobile Banking,BR Tinpaini,INACTIVE,448
NP0010021,Individual Female,Mobile Banking,BR Netachowk,ACTIVE,102
NP0010021,Individual Female,Mobile Banking,BR Netachowk,INACTIVE,17
NP0010021,Individual Male,Mobile Banking,BR Netachowk,ACTIVE,159
NP0010021,Individual Male,Mobile Banking,BR Netachowk,INACTIVE,60
NP0010021,Individual Other,Mobile Banking,BR Netachowk,ACTIVE,109
NP0010021,Individual Other,Mobile Banking,BR Netachowk,INACTIVE,92
NP0010021,Individual Other,Mobile Banking,BR Netachowk,ACTIVE,174
NP0010021,Individual Other,Mobile Banking,BR Netachowk,INACTIVE,509
NP0010022,Individual Female,Mobile Banking,ERTC Letang,ACTIVE,90
NP0010022,Individual Female,Mobile Banking,ERTC Letang,INACTIVE,17
NP0010022,Individual Male,Mobile Banking,ERTC Letang,ACTIVE,131
NP0010022,Individual Male,Mobile Banking,ERTC Letang,INACTIVE,46
NP0010022,Individual Other,Mobile Banking,ERTC Letang,ACTIVE,88
NP0010022,Individual Other,Mobile Banking,ERTC Letang,INACTIVE,35
NP0010023,Individual Female,Mobile Banking,BR Inaruwa,ACTIVE,209
NP0010023,Individual Female,Mobile Banking,BR Inaruwa,INACTIVE,56
NP0010023,Individual Male,Mobile Banking,BR Inaruwa,ACTIVE,362
NP0010023,Individual Male,Mobile Banking,BR Inaruwa,INACTIVE,123
NP0010023,Individual Other,Mobile Banking,BR Inaruwa,ACTIVE,463
NP0010023,Individual Other,Mobile Banking,BR Inaruwa,INACTIVE,153
NP0010023,Individual Other,Mobile Banking,BR Inaruwa,ACTIVE,1203
NP0010023,Individual Other,Mobile Banking,BR Inaruwa,INACTIVE,1499
NP0010024,Individual Female,Mobile Banking,BR Harinagara,ACTIVE,214
NP0010024,Individual Female,Mobile Banking,BR Harinagara,INACTIVE,51
NP0010024,Individual Male,Mobile Banking,BR Harinagara,ACTIVE,654
NP0010024,Individual Male,Mobile Banking,BR Harinagara,INACTIVE,163
NP0010024,Individual Other,Mobile Banking,BR Harinagara,ACTIVE,325
NP0010024,Individual Other,Mobile Banking,BR Harinagara,INACTIVE,98
NP0010024,Individual Other,Mobile Banking,BR Harinagara,ACTIVE,24
NP0010024,Individual Other,Mobile Banking,BR Harinagara,INACTIVE,179
NP0010025,Individual Female,Mobile Banking,BR Barju,ACTIVE,162
NP0010025,Individual Female,Mobile Banking,BR Barju,INACTIVE,43
NP0010025,Individual Male,Mobile Banking,BR Barju,ACTIVE,356
NP0010025,Individual Male,Mobile Banking,BR Barju,INACTIVE,133
NP0010025,Individual Other,Mobile Banking,BR Barju,ACTIVE,300
NP0010025,Individual Other,Mobile Banking,BR Barju,INACTIVE,119
NP0010026,Individual Female,Mobile Banking,BR Itahari,ACTIVE,806
NP0010026,Individual Female,Mobile Banking,BR Itahari,INACTIVE,128
NP0010026,Individual Male,Mobile Banking,BR Itahari,ACTIVE,994
NP0010026,Individual Male,Mobile Banking,BR Itahari,INACTIVE,235
NP0010026,Individual Other,Mobile Banking,BR Itahari,ACTIVE,640
NP0010026,Individual Other,Mobile Banking,BR Itahari,INACTIVE,102
NP0010026,Individual Other,Mobile Banking,BR Itahari,ACTIVE,662
NP0010026,Individual Other,Mobile Banking,BR Itahari,INACTIVE,957
NP0010027,Individual Female,Mobile Banking,BR  Dharan,ACTIVE,823
NP0010027,Individual Female,Mobile Banking,BR  Dharan,INACTIVE,96
NP0010027,Individual Male,Mobile Banking,BR  Dharan,ACTIVE,979
NP0010027,Individual Male,Mobile Banking,BR  Dharan,INACTIVE,160
NP0010027,Individual Other,Mobile Banking,BR  Dharan,ACTIVE,572
NP0010027,Individual Other,Mobile Banking,BR  Dharan,INACTIVE,84
NP0010027,Individual Other,Mobile Banking,BR  Dharan,ACTIVE,717
NP0010027,Individual Other,Mobile Banking,BR  Dharan,INACTIVE,1255
NP0010028,Individual Female,Mobile Banking,BR Duhabi,ACTIVE,403
NP0010028,Individual Female,Mobile Banking,BR Duhabi,INACTIVE,76
NP0010028,Individual Male,Mobile Banking,BR Duhabi,ACTIVE,722
NP0010028,Individual Male,Mobile Banking,BR Duhabi,INACTIVE,146
NP0010028,Individual Other,Mobile Banking,BR Duhabi,ACTIVE,557
NP0010028,Individual Other,Mobile Banking,BR Duhabi,INACTIVE,162
NP0010028,Individual Other,Mobile Banking,BR Duhabi,ACTIVE,299
NP0010028,Individual Other,Mobile Banking,BR Duhabi,INACTIVE,616
NP0010029,Individual Female,Mobile Banking,BR  Laukahi,ACTIVE,71
NP0010029,Individual Female,Mobile Banking,BR  Laukahi,INACTIVE,10
NP0010029,Individual Male,Mobile Banking,BR  Laukahi,ACTIVE,248
NP0010029,Individual Male,Mobile Banking,BR  Laukahi,INACTIVE,46
NP0010029,Individual Other,Mobile Banking,BR  Laukahi,ACTIVE,214
NP0010029,Individual Other,Mobile Banking,BR  Laukahi,INACTIVE,82
NP0010029,Individual Other,Mobile Banking,BR  Laukahi,ACTIVE,36
NP0010029,Individual Other,Mobile Banking,BR  Laukahi,INACTIVE,149
NP0010030,Individual Female,Mobile Banking,BR Dhankuta,ACTIVE,165
NP0010030,Individual Female,Mobile Banking,BR Dhankuta,INACTIVE,37
NP0010030,Individual Male,Mobile Banking,BR Dhankuta,ACTIVE,329
NP0010030,Individual Male,Mobile Banking,BR Dhankuta,INACTIVE,114
NP0010030,Individual Other,Mobile Banking,BR Dhankuta,ACTIVE,243
NP0010030,Individual Other,Mobile Banking,BR Dhankuta,INACTIVE,103
NP0010030,Individual Other,Mobile Banking,BR Dhankuta,ACTIVE,269
NP0010030,Individual Other,Mobile Banking,BR Dhankuta,INACTIVE,713
NP0010031,Individual Female,Mobile Banking,BR Terhathum,ACTIVE,84
NP0010031,Individual Female,Mobile Banking,BR Terhathum,INACTIVE,61
NP0010031,Individual Male,Mobile Banking,BR Terhathum,ACTIVE,237
NP0010031,Individual Male,Mobile Banking,BR Terhathum,INACTIVE,211
NP0010031,Individual Other,Mobile Banking,BR Terhathum,ACTIVE,97
NP0010031,Individual Other,Mobile Banking,BR Terhathum,INACTIVE,74
NP0010031,Individual Other,Mobile Banking,BR Terhathum,ACTIVE,127
NP0010031,Individual Other,Mobile Banking,BR Terhathum,INACTIVE,412
NP0010032,Individual Female,Mobile Banking,BR Bhojpur,ACTIVE,57
NP0010032,Individual Female,Mobile Banking,BR Bhojpur,INACTIVE,18
NP0010032,Individual Male,Mobile Banking,BR Bhojpur,ACTIVE,122
NP0010032,Individual Male,Mobile Banking,BR Bhojpur,INACTIVE,47
NP0010032,Individual Other,Mobile Banking,BR Bhojpur,ACTIVE,155
NP0010032,Individual Other,Mobile Banking,BR Bhojpur,INACTIVE,31
NP0010032,Individual Other,Mobile Banking,BR Bhojpur,ACTIVE,103
NP0010032,Individual Other,Mobile Banking,BR Bhojpur,INACTIVE,186
NP0010033,Individual Female,Mobile Banking,BR Chainpur,ACTIVE,117
NP0010033,Individual Female,Mobile Banking,BR Chainpur,INACTIVE,24
NP0010033,Individual Male,Mobile Banking,BR Chainpur,ACTIVE,327
NP0010033,Individual Male,Mobile Banking,BR Chainpur,INACTIVE,71
NP0010033,Individual Other,Mobile Banking,BR Chainpur,ACTIVE,92
NP0010033,Individual Other,Mobile Banking,BR Chainpur,INACTIVE,29
NP0010033,Individual Other,Mobile Banking,BR Chainpur,ACTIVE,55
NP0010033,Individual Other,Mobile Banking,BR Chainpur,INACTIVE,313
NP0010034,Individual Female,Mobile Banking,BR Khandbari,ACTIVE,58
NP0010034,Individual Female,Mobile Banking,BR Khandbari,INACTIVE,13
NP0010034,Individual Male,Mobile Banking,BR Khandbari,ACTIVE,143
NP0010034,Individual Male,Mobile Banking,BR Khandbari,INACTIVE,48
NP0010034,Individual Other,Mobile Banking,BR Khandbari,ACTIVE,104
NP0010034,Individual Other,Mobile Banking,BR Khandbari,INACTIVE,43
NP0010034,Individual Other,Mobile Banking,BR Khandbari,ACTIVE,78
NP0010034,Individual Other,Mobile Banking,BR Khandbari,INACTIVE,317
NP0010036,Individual Female,Mobile Banking,BR Kanchanpur,ACTIVE,173
NP0010036,Individual Female,Mobile Banking,BR Kanchanpur,INACTIVE,33
NP0010036,Individual Male,Mobile Banking,BR Kanchanpur,ACTIVE,333
NP0010036,Individual Male,Mobile Banking,BR Kanchanpur,INACTIVE,99
NP0010036,Individual Other,Mobile Banking,BR Kanchanpur,ACTIVE,245
NP0010036,Individual Other,Mobile Banking,BR Kanchanpur,INACTIVE,83
NP0010036,Individual Other,Mobile Banking,BR Kanchanpur,ACTIVE,330
NP0010036,Individual Other,Mobile Banking,BR Kanchanpur,INACTIVE,760
NP0010037,Individual Female,Mobile Banking,BR Kalyanpur,ACTIVE,111
NP0010037,Individual Female,Mobile Banking,BR Kalyanpur,INACTIVE,32
NP0010037,Individual Male,Mobile Banking,BR Kalyanpur,ACTIVE,280
NP0010037,Individual Male,Mobile Banking,BR Kalyanpur,INACTIVE,116
NP0010037,Individual Other,Mobile Banking,BR Kalyanpur,ACTIVE,271
NP0010037,Individual Other,Mobile Banking,BR Kalyanpur,INACTIVE,81
NP0010037,Individual Other,Mobile Banking,BR Kalyanpur,ACTIVE,324
NP0010037,Individual Other,Mobile Banking,BR Kalyanpur,INACTIVE,612
NP0010038,Individual Female,Mobile Banking,BR Bodebarsain,ACTIVE,81
NP0010038,Individual Female,Mobile Banking,BR Bodebarsain,INACTIVE,21
NP0010038,Individual Male,Mobile Banking,BR Bodebarsain,ACTIVE,212
NP0010038,Individual Male,Mobile Banking,BR Bodebarsain,INACTIVE,76
NP0010038,Individual Other,Mobile Banking,BR Bodebarsain,ACTIVE,125
NP0010038,Individual Other,Mobile Banking,BR Bodebarsain,INACTIVE,102
NP0010039,Individual Female,Mobile Banking,BR Rajbiraj,ACTIVE,152
NP0010039,Individual Female,Mobile Banking,BR Rajbiraj,INACTIVE,31
NP0010039,Individual Male,Mobile Banking,BR Rajbiraj,ACTIVE,330
NP0010039,Individual Male,Mobile Banking,BR Rajbiraj,INACTIVE,98
NP0010039,Individual Other,Mobile Banking,BR Rajbiraj,ACTIVE,714
NP0010039,Individual Other,Mobile Banking,BR Rajbiraj,INACTIVE,131
NP0010039,Individual Other,Mobile Banking,BR Rajbiraj,ACTIVE,1241
NP0010039,Individual Other,Mobile Banking,BR Rajbiraj,INACTIVE,1197
NP0010040,Individual Female,Mobile Banking,BR Hanumannagar,ACTIVE,76
NP0010040,Individual Female,Mobile Banking,BR Hanumannagar,INACTIVE,29
NP0010040,Individual Male,Mobile Banking,BR Hanumannagar,ACTIVE,137
NP0010040,Individual Male,Mobile Banking,BR Hanumannagar,INACTIVE,59
NP0010040,Individual Other,Mobile Banking,BR Hanumannagar,ACTIVE,89
NP0010040,Individual Other,Mobile Banking,BR Hanumannagar,INACTIVE,132
NP0010042,Individual Female,Mobile Banking,BR Siraha,ACTIVE,112
NP0010042,Individual Female,Mobile Banking,BR Siraha,INACTIVE,49
NP0010042,Individual Male,Mobile Banking,BR Siraha,ACTIVE,214
NP0010042,Individual Male,Mobile Banking,BR Siraha,INACTIVE,72
NP0010042,Individual Other,Mobile Banking,BR Siraha,ACTIVE,312
NP0010042,Individual Other,Mobile Banking,BR Siraha,INACTIVE,330
NP0010042,Individual Other,Mobile Banking,BR Siraha,ACTIVE,208
NP0010042,Individual Other,Mobile Banking,BR Siraha,INACTIVE,465
NP0010043,Individual Female,Mobile Banking,BR Mirchaiya,ACTIVE,79
NP0010043,Individual Female,Mobile Banking,BR Mirchaiya,INACTIVE,17
NP0010043,Individual Male,Mobile Banking,BR Mirchaiya,ACTIVE,160
NP0010043,Individual Male,Mobile Banking,BR Mirchaiya,INACTIVE,78
NP0010043,Individual Other,Mobile Banking,BR Mirchaiya,ACTIVE,202
NP0010043,Individual Other,Mobile Banking,BR Mirchaiya,INACTIVE,76
NP0010043,Individual Other,Mobile Banking,BR Mirchaiya,ACTIVE,322
NP0010043,Individual Other,Mobile Banking,BR Mirchaiya,INACTIVE,507
NP0010044,Individual Female,Mobile Banking,BR Shukhipur,ACTIVE,177
NP0010044,Individual Female,Mobile Banking,BR Shukhipur,INACTIVE,34
NP0010044,Individual Male,Mobile Banking,BR Shukhipur,ACTIVE,352
NP0010044,Individual Male,Mobile Banking,BR Shukhipur,INACTIVE,122
NP0010044,Individual Other,Mobile Banking,BR Shukhipur,ACTIVE,266
NP0010044,Individual Other,Mobile Banking,BR Shukhipur,INACTIVE,79
NP0010044,Individual Other,Mobile Banking,BR Shukhipur,ACTIVE,191
NP0010044,Individual Other,Mobile Banking,BR Shukhipur,INACTIVE,450
NP0010045,Individual Female,Mobile Banking,BO Lahan,ACTIVE,235
NP0010045,Individual Female,Mobile Banking,BO Lahan,INACTIVE,111
NP0010045,Individual Male,Mobile Banking,BO Lahan,ACTIVE,477
NP0010045,Individual Male,Mobile Banking,BO Lahan,INACTIVE,167
NP0010045,Individual Other,Mobile Banking,BO Lahan,ACTIVE,662
NP0010045,Individual Other,Mobile Banking,BO Lahan,INACTIVE,141
NP0010045,Individual Other,Mobile Banking,BO Lahan,ACTIVE,908
NP0010045,Individual Other,Mobile Banking,BO Lahan,INACTIVE,1382
NP0010046,Individual Female,Mobile Banking,BR Gaighat,ACTIVE,264
NP0010046,Individual Female,Mobile Banking,BR Gaighat,INACTIVE,56
NP0010046,Individual Male,Mobile Banking,BR Gaighat,ACTIVE,421
NP0010046,Individual Male,Mobile Banking,BR Gaighat,INACTIVE,137
NP0010046,Individual Other,Mobile Banking,BR Gaighat,ACTIVE,290
NP0010046,Individual Other,Mobile Banking,BR Gaighat,INACTIVE,81
NP0010046,Individual Other,Mobile Banking,BR Gaighat,ACTIVE,264
NP0010046,Individual Other,Mobile Banking,BR Gaighat,INACTIVE,594
NP0010047,Individual Female,Mobile Banking,BR Katari,ACTIVE,288
NP0010047,Individual Female,Mobile Banking,BR Katari,INACTIVE,43
NP0010047,Individual Male,Mobile Banking,BR Katari,ACTIVE,440
NP0010047,Individual Male,Mobile Banking,BR Katari,INACTIVE,95
NP0010047,Individual Other,Mobile Banking,BR Katari,ACTIVE,266
NP0010047,Individual Other,Mobile Banking,BR Katari,INACTIVE,80
NP0010047,Individual Other,Mobile Banking,BR Katari,ACTIVE,223
NP0010047,Individual Other,Mobile Banking,BR Katari,INACTIVE,377
NP0010048,Individual Female,Mobile Banking,BR Beltar,ACTIVE,223
NP0010048,Individual Female,Mobile Banking,BR Beltar,INACTIVE,27
NP0010048,Individual Male,Mobile Banking,BR Beltar,ACTIVE,360
NP0010048,Individual Male,Mobile Banking,BR Beltar,INACTIVE,66
NP0010048,Individual Other,Mobile Banking,BR Beltar,ACTIVE,177
NP0010048,Individual Other,Mobile Banking,BR Beltar,INACTIVE,60
NP0010049,Individual Female,Mobile Banking,BR Diktel,ACTIVE,106
NP0010049,Individual Female,Mobile Banking,BR Diktel,INACTIVE,28
NP0010049,Individual Male,Mobile Banking,BR Diktel,ACTIVE,205
NP0010049,Individual Male,Mobile Banking,BR Diktel,INACTIVE,60
NP0010049,Individual Other,Mobile Banking,BR Diktel,ACTIVE,111
NP0010049,Individual Other,Mobile Banking,BR Diktel,INACTIVE,34
NP0010050,Individual Female,Mobile Banking,BR Okhaldhunga,ACTIVE,141
NP0010050,Individual Female,Mobile Banking,BR Okhaldhunga,INACTIVE,26
NP0010050,Individual Male,Mobile Banking,BR Okhaldhunga,ACTIVE,211
NP0010050,Individual Male,Mobile Banking,BR Okhaldhunga,INACTIVE,67
NP0010050,Individual Other,Mobile Banking,BR Okhaldhunga,ACTIVE,145
NP0010050,Individual Other,Mobile Banking,BR Okhaldhunga,INACTIVE,47
NP0010050,Individual Other,Mobile Banking,BR Okhaldhunga,ACTIVE,18
NP0010050,Individual Other,Mobile Banking,BR Okhaldhunga,INACTIVE,59
NP0010051,Individual Female,Mobile Banking,BR Salleri,ACTIVE,211
NP0010051,Individual Female,Mobile Banking,BR Salleri,INACTIVE,26
NP0010051,Individual Male,Mobile Banking,BR Salleri,ACTIVE,312
NP0010051,Individual Male,Mobile Banking,BR Salleri,INACTIVE,80
NP0010051,Individual Other,Mobile Banking,BR Salleri,ACTIVE,167
NP0010051,Individual Other,Mobile Banking,BR Salleri,INACTIVE,56
NP0010051,Individual Other,Mobile Banking,BR Salleri,ACTIVE,163
NP0010051,Individual Other,Mobile Banking,BR Salleri,INACTIVE,373
NP0010053,Individual Female,Mobile Banking,BR Dhalkebar,ACTIVE,284
NP0010053,Individual Female,Mobile Banking,BR Dhalkebar,INACTIVE,78
NP0010053,Individual Male,Mobile Banking,BR Dhalkebar,ACTIVE,529
NP0010053,Individual Male,Mobile Banking,BR Dhalkebar,INACTIVE,150
